leg,trader,face,start,window,ret,dd,n_trades,passive,beat,events_n,regime_state,segment
L,COMPOSITE-CE-01,x1,2021-04-19,24m,-0.037692,-0.17,144,-0.118805,1,8,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-20,6m,0.018579,-0.0321,40,0.023964,0,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-20,12m,-0.044633,-0.119,84,-0.196765,1,6,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-20,24m,-0.004788,-0.1666,148,-0.113345,1,8,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-21,6m,0.009906,-0.0348,40,0.015107,0,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-21,12m,-0.050118,-0.1196,83,-0.200106,1,6,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-21,24m,-0.012126,-0.1698,145,-0.112377,1,8,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-22,6m,0.008845,-0.0378,41,0.021614,0,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-22,12m,-0.051429,-0.1196,83,-0.195835,1,6,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-22,24m,-0.031415,-0.1698,146,-0.11843,1,8,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-23,6m,0.010697,-0.0332,40,0.017835,0,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-23,12m,-0.055917,-0.1199,82,-0.188722,1,6,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-23,24m,-0.048482,-0.1702,144,-0.13197,1,8,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-26,6m,0.012456,-0.0355,40,0.017045,0,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-26,12m,-0.053267,-0.1198,82,-0.187213,1,6,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-26,24m,-0.051759,-0.1701,145,-0.134804,1,8,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-27,6m,0.012866,-0.0348,40,0.015141,0,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-27,12m,-0.049861,-0.1199,82,-0.181849,1,6,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-27,24m,-0.053832,-0.1702,146,-0.135965,1,8,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-28,6m,0.006696,-0.0346,40,0.015173,0,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-28,12m,-0.053018,-0.1203,83,-0.190825,1,6,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-28,24m,-0.050848,-0.1681,145,-0.140548,1,8,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-29,6m,0.007916,-0.0399,38,0.005081,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-04-29,12m,-0.058137,-0.1191,80,-0.185276,1,6,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-04-29,24m,-0.046216,-0.1698,144,-0.147072,1,8,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-04-30,6m,0.018252,-0.0333,38,0.012206,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-04-30,12m,-0.05179,-0.1198,81,-0.181922,1,6,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-04-30,24m,-0.04258,-0.1675,144,-0.13951,1,8,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-05-06,6m,0.009242,-0.0381,37,0.024162,0,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-05-06,12m,-0.062123,-0.1192,79,-0.175926,1,6,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-05-06,24m,-0.044265,-0.17,143,-0.141122,1,8,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-05-07,6m,0.004201,-0.0375,35,0.034833,0,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-05-07,12m,-0.060436,-0.1194,77,-0.155464,1,6,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-05-07,24m,-0.046638,-0.1703,143,-0.127721,1,8,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-05-10,6m,0.012565,-0.0337,35,0.046133,0,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-05-10,12m,-0.050105,-0.1202,79,-0.157335,1,6,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-05-10,24m,-0.042918,-0.168,143,-0.120743,1,8,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-05-11,6m,0.017636,-0.0298,35,0.048455,0,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-05-11,12m,-0.046842,-0.1196,79,-0.178294,1,6,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-05-11,24m,-0.042638,-0.1672,144,-0.122045,1,8,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-05-12,6m,0.027186,-0.0333,34,0.036433,0,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-05-12,12m,-0.043038,-0.1196,78,-0.17923,1,6,GREEN,bull
