name,family,exit_regime,status,n_trades,oos_trades,annual_return,sharpe,max_drawdown,win_rate,oos_sharpe,oos_annual_return,oos_max_drawdown,i_bar,vi_bar,g1_pass,sleeve_tag,x2_full_sharpe,x2_oos_sharpe,max_corr,note
rand_default_p0.02_s2,random_baseline,default,ok,792,235,0.0147,0.2606,-0.1349,0.5795,0.3281,0.0209,-0.0953,,,,,,,,p=0.02 seed=41002
rand_default_p0.02_s3,random_baseline,default,ok,830,252,0.0404,0.492,-0.103,0.5964,0.35,0.0212,-0.0771,,,,,,,,p=0.02 seed=41003
rand_default_p0.02_s4,random_baseline,default,ok,771,246,-0.0012,0.0178,-0.1701,0.5564,0.2762,0.0187,-0.1076,,,,,,,,p=0.02 seed=41004
rand_default_p0.02_s5,random_baseline,default,ok,784,227,0.006,0.1242,-0.1861,0.5791,0.4007,0.0281,-0.0672,,,,,,,,p=0.02 seed=41005
rand_default_p0.02_s6,random_baseline,default,ok,818,241,0.0396,0.4356,-0.2021,0.566,1.0019,0.0627,-0.0437,,,,,,,,p=0.02 seed=41006
rand_default_p0.02_s7,random_baseline,default,ok,816,240,0.0198,0.2333,-0.2465,0.5809,0.5792,0.0393,-0.0707,,,,,,,,p=0.02 seed=41007
rand_default_p0.02_s8,random_baseline,default,ok,778,240,-0.006,-0.0395,-0.2794,0.5643,0.6078,0.0454,-0.0694,,,,,,,,p=0.02 seed=41008
rand_default_p0.02_s9,random_baseline,default,ok,812,254,-0.0002,0.034,-0.2425,0.5714,1.1449,0.0967,-0.0582,,,,,,,,p=0.02 seed=41009
rand_default_p0.02_s10,random_baseline,default,ok,788,252,0.0195,0.2799,-0.1778,0.5647,0.897,0.059,-0.0545,,,,,,,,p=0.02 seed=41010
rand_default_p0.02_s11,random_baseline,default,ok,818,252,0.0059,0.1191,-0.169,0.5758,0.7143,0.0559,-0.0645,,,,,,,,p=0.02 seed=41011
rand_default_p0.02_s12,random_baseline,default,ok,770,229,0.0067,0.1182,-0.2222,0.5558,0.3289,0.0216,-0.0605,,,,,,,,p=0.02 seed=41012
rand_default_p0.02_s13,random_baseline,default,ok,749,240,0.0057,0.1189,-0.1886,0.5541,0.8596,0.0611,-0.0634,,,,,,,,p=0.02 seed=41013
rand_default_p0.02_s14,random_baseline,default,ok,805,244,-0.0071,-0.0529,-0.2177,0.5652,0.9056,0.0679,-0.06,,,,,,,,p=0.02 seed=41014
rand_default_p0.02_s15,random_baseline,default,ok,806,235,-0.0276,-0.3221,-0.2922,0.5335,0.352,0.0273,-0.115,,,,,,,,p=0.02 seed=41015
rand_default_p0.02_s16,random_baseline,default,ok,799,226,0.0194,0.3339,-0.1558,0.577,0.5763,0.0343,-0.0621,,,,,,,,p=0.02 seed=41016
rand_default_p0.02_s17,random_baseline,default,ok,787,235,-0.0213,-0.1972,-0.2986,0.5769,0.316,0.0231,-0.0824,,,,,,,,p=0.02 seed=41017
rand_default_p0.02_s18,random_baseline,default,ok,725,220,-0.0362,-0.4054,-0.3097,0.5228,-0.3765,-0.0426,-0.1567,,,,,,,,p=0.02 seed=41018
rand_default_p0.02_s19,random_baseline,default,ok,801,243,0.0209,0.291,-0.2498,0.5443,1.2576,0.0871,-0.0509,,,,,,,,p=0.02 seed=41019
rand_default_p0.02_s20,random_baseline,default,ok,802,238,-0.0172,-0.184,-0.2368,0.5648,-0.0625,-0.0119,-0.0979,,,,,,,,p=0.02 seed=41020
rand_default_p0.02_s21,random_baseline,default,ok,749,244,-0.0217,-0.105,-0.3268,0.5007,0.2006,0.0146,-0.0782,,,,,,,,p=0.02 seed=41021
rand_default_p0.02_s22,random_baseline,default,ok,774,224,-0.0348,-0.3559,-0.3239,0.5517,-0.0205,-0.006,-0.0797,,,,,,,,p=0.02 seed=41022
rand_default_p0.02_s23,random_baseline,default,ok,761,244,-0.0037,-0.0138,-0.2481,0.5335,0.8872,0.072,-0.0672,,,,,,,,p=0.02 seed=41023
rand_default_p0.02_s24,random_baseline,default,ok,754,222,-0.0018,0.0106,-0.247,0.5451,0.564,0.0381,-0.069,,,,,,,,p=0.02 seed=41024
rand_default_p0.05_s25,random_baseline,default,ok,879,244,0.014,0.2393,-0.1314,0.5609,0.2125,0.0122,-0.0678,,,,,,,,p=0.05 seed=41025
rand_default_p0.05_s26,random_baseline,default,ok,793,252,0.0029,0.0768,-0.33,0.5448,0.866,0.0776,-0.0707,,,,,,,,p=0.05 seed=41026
rand_default_p0.05_s27,random_baseline,default,ok,859,260,-0.0106,-0.1009,-0.2608,0.5448,0.843,0.0688,-0.0624,,,,,,,,p=0.05 seed=41027
rand_default_p0.05_s28,random_baseline,default,ok,878,254,-0.0043,-0.0157,-0.2099,0.5569,0.464,0.0391,-0.0651,,,,,,,,p=0.05 seed=41028
rand_default_p0.05_s29,random_baseline,default,ok,855,265,0.0183,0.297,-0.1549,0.5544,1.287,0.0925,-0.0583,,,,,,,,p=0.05 seed=41029
rand_default_p0.05_s30,random_baseline,default,ok,870,270,-0.0029,-0.0005,-0.2513,0.5552,0.8914,0.078,-0.072,,,,,,,,p=0.05 seed=41030
rand_default_p0.05_s31,random_baseline,default,ok,873,258,0.027,0.3573,-0.2517,0.5659,1.6662,0.1136,-0.0577,,,,,,,,p=0.05 seed=41031
rand_default_p0.05_s32,random_baseline,default,ok,838,247,0.0032,0.0805,-0.2334,0.5561,1.3688,0.1006,-0.0567,,,,,,,,p=0.05 seed=41032
rand_default_p0.05_s33,random_baseline,default,ok,821,261,-0.0103,-0.0398,-0.3745,0.5457,0.5682,0.0497,-0.0675,,,,,,,,p=0.05 seed=41033
rand_default_p0.05_s34,random_baseline,default,ok,815,274,-0.0182,-0.1628,-0.3697,0.546,1.1888,0.111,-0.072,,,,,,,,p=0.05 seed=41034
rand_default_p0.05_s35,random_baseline,default,ok,831,259,0.0071,0.1172,-0.1671,0.5427,0.4731,0.0337,-0.0907,,,,,,,,p=0.05 seed=41035
rand_default_p0.05_s36,random_baseline,default,ok,863,264,-0.0029,0.0084,-0.2684,0.5805,1.0096,0.0877,-0.0635,,,,,,,,p=0.05 seed=41036
rand_default_p0.05_s37,random_baseline,default,ok,879,276,-0.0198,-0.188,-0.3156,0.5484,0.9643,0.0975,-0.0811,,,,,,,,p=0.05 seed=41037
rand_default_p0.05_s38,random_baseline,default,ok,882,259,-0.0246,-0.1912,-0.335,0.5533,0.9572,0.1061,-0.0772,,,,,,,,p=0.05 seed=41038
rand_default_p0.05_s39,random_baseline,default,ok,819,250,-0.0069,-0.0274,-0.2371,0.5397,0.3391,0.0277,-0.0794,,,,,,,,p=0.05 seed=41039
rand_default_p0.05_s40,random_baseline,default,ok,886,257,0.0057,0.114,-0.2009,0.5813,0.7431,0.0565,-0.0764,,,,,,,,p=0.05 seed=41040
rand_default_p0.05_s41,random_baseline,default,ok,890,262,0.007,0.1133,-0.3831,0.5506,1.0105,0.0811,-0.057,,,,,,,,p=0.05 seed=41041
