factor,status,skip_reason,compute_s,h5_full_ic,h5_full_ir,h5_full_n,h5_is_ic,h5_is_ir,h5_is_n,h5_oos_ic,h5_oos_ir,h5_oos_n,h5_pass,h5_strong,h10_full_ic,h10_full_ir,h10_full_n,h10_is_ic,h10_is_ir,h10_is_n,h10_oos_ic,h10_oos_ir,h10_oos_n,h10_pass,h10_strong,h20_full_ic,h20_full_ir,h20_full_n,h20_is_ic,h20_is_ir,h20_is_n,h20_oos_ic,h20_oos_ir,h20_oos_n,h20_pass,h20_strong,in_pool,strong_tier,h10_v1,h10_v2,h10_v3,h10_strict_all
alpha072,ok,,1.58,-0.0087,-0.044,1571,-0.006,-0.031,1157,-0.0163,-0.076,414,False,False,-0.0132,-0.068,1566,-0.0084,-0.045,1157,-0.0266,-0.127,409,False,False,-0.0111,-0.055,1556,-0.0077,-0.04,1157,-0.0207,-0.095,399,False,False,False,False,False,False,True,False
alpha073,ok,,0.74,-0.0232,-0.093,1607,-0.0219,-0.088,1193,-0.027,-0.109,414,True,True,-0.0214,-0.086,1602,-0.0226,-0.092,1193,-0.018,-0.071,409,True,True,-0.011,-0.045,1592,-0.0106,-0.043,1193,-0.0123,-0.049,399,False,False,True,True,True,False,True,False
alpha074,ok,,0.17,-0.0082,-0.046,1547,0.0022,0.013,1133,-0.0367,-0.191,414,False,False,-0.0154,-0.086,1542,-0.0043,-0.025,1133,-0.0462,-0.24,409,False,False,-0.0112,-0.063,1532,-0.0024,-0.014,1133,-0.0363,-0.195,399,False,False,False,False,False,False,True,False
alpha075,ok,,0.15,0.0076,0.046,1566,0.0054,0.033,1152,0.0137,0.083,414,False,False,0.0092,0.055,1561,0.008,0.048,1152,0.0124,0.074,409,False,False,0.0067,0.039,1551,0.0063,0.038,1152,0.0076,0.045,399,False,False,False,False,False,False,True,False
alpha077,ok,,0.1,-0.0127,-0.06,1581,-0.0113,-0.053,1167,-0.0165,-0.079,414,True,True,-0.0062,-0.03,1576,-0.0039,-0.019,1167,-0.0129,-0.061,409,False,False,-0.0094,-0.045,1566,-0.0131,-0.064,1167,0.0013,0.006,399,False,False,True,True,False,False,True,False
alpha078,ok,,0.18,-0.018,-0.083,1564,-0.0224,-0.108,1150,-0.0058,-0.024,414,True,False,-0.0158,-0.077,1559,-0.017,-0.086,1150,-0.0124,-0.055,409,True,True,-0.0137,-0.069,1549,-0.0144,-0.074,1150,-0.0115,-0.054,399,True,True,True,True,False,False,True,False
alpha081,ok,,0.21,-0.0158,-0.085,1549,-0.0099,-0.055,1135,-0.032,-0.162,414,True,True,-0.0198,-0.111,1544,-0.0115,-0.067,1135,-0.0428,-0.224,409,True,True,-0.0128,-0.074,1534,-0.0069,-0.04,1135,-0.0296,-0.166,399,False,False,True,True,False,False,True,False
alpha083,ok,,0.06,0.0118,0.039,1620,0.0099,0.033,1206,0.0174,0.056,414,False,False,-0.0007,-0.002,1615,-0.0009,-0.003,1206,-0.0004,-0.001,409,False,False,0.0032,0.011,1605,0.0042,0.015,1206,-0.0001,-0.0,399,False,False,False,False,False,False,False,False
alpha084,ok,,0.78,-0.0025,-0.009,1593,0.0035,0.013,1179,-0.0196,-0.067,414,False,False,-0.0104,-0.037,1588,-0.0046,-0.017,1179,-0.027,-0.09,409,False,False,-0.0181,-0.068,1578,-0.01,-0.039,1179,-0.0421,-0.143,399,False,False,False,False,False,False,True,False
alpha085,ok,,1.58,0.0017,0.008,1589,0.0044,0.021,1175,-0.0057,-0.026,414,False,False,-0.0061,-0.029,1584,-0.0039,-0.019,1175,-0.0122,-0.057,409,False,False,-0.0069,-0.034,1574,-0.0118,-0.058,1175,0.0078,0.04,399,False,False,False,False,False,False,True,False
alpha086,ok,,0.8,0.0062,0.028,1570,0.0051,0.024,1156,0.0091,0.039,414,False,False,-0.006,-0.028,1565,-0.0055,-0.026,1156,-0.0074,-0.033,409,False,False,-0.0053,-0.025,1555,-0.0051,-0.025,1156,-0.0059,-0.026,399,False,False,False,False,False,False,True,False
alpha088,ok,,2.25,0.0067,0.032,1535,0.0117,0.058,1121,-0.0069,-0.031,414,False,False,0.0078,0.037,1530,0.0123,0.059,1121,-0.0048,-0.022,409,False,False,0.0269,0.134,1520,0.0267,0.137,1121,0.0274,0.128,399,True,True,True,True,False,False,False,False
alpha092,ok,,1.59,-0.002,-0.009,1581,0.0006,0.003,1167,-0.009,-0.047,414,False,False,-0.0086,-0.042,1576,-0.0054,-0.026,1167,-0.0179,-0.096,409,False,False,-0.0216,-0.106,1566,-0.0206,-0.099,1167,-0.0246,-0.126,399,True,True,True,True,False,False,True,False
alpha094,ok,,2.4,-0.022,-0.08,1546,-0.0133,-0.049,1132,-0.0456,-0.163,414,False,False,-0.0238,-0.087,1541,-0.0146,-0.053,1132,-0.0492,-0.184,409,False,False,-0.0299,-0.114,1531,-0.0215,-0.083,1132,-0.054,-0.201,399,True,True,True,True,False,False,True,False
alpha095,ok,,0.8,-0.0116,-0.057,1548,-0.0032,-0.016,1134,-0.0345,-0.165,414,False,False,-0.0159,-0.079,1543,-0.009,-0.045,1134,-0.0352,-0.168,409,False,False,-0.0112,-0.056,1533,-0.0088,-0.045,1134,-0.0179,-0.087,399,False,False,False,False,False,False,True,False
alpha096,ok,,3.14,0.0063,0.04,1526,0.0089,0.059,1112,-0.0008,-0.005,414,False,False,0.0037,0.024,1521,0.007,0.045,1112,-0.0052,-0.032,409,False,False,0.0028,0.018,1511,0.007,0.045,1112,-0.0088,-0.054,399,False,False,False,False,False,False,False,False
alpha098,ok,,0.93,0.0051,0.028,1574,0.0055,0.031,1160,0.0037,0.02,414,False,False,-0.0009,-0.005,1569,-0.0033,-0.018,1160,0.0058,0.034,409,False,False,-0.0091,-0.05,1559,-0.0135,-0.074,1160,0.0038,0.022,399,False,False,False,False,False,False,False,False
alpha099,ok,,0.16,-0.013,-0.066,1542,-0.0161,-0.082,1128,-0.0045,-0.023,414,True,False,-0.0135,-0.071,1537,-0.0154,-0.08,1128,-0.0083,-0.046,409,True,True,-0.0176,-0.098,1527,-0.0123,-0.067,1128,-0.0325,-0.201,399,True,True,True,True,False,False,True,False
alpha101,ok,,0.0,0.0144,0.05,1626,0.0165,0.058,1212,0.0085,0.029,414,True,True,0.0177,0.063,1621,0.0132,0.047,1212,0.0312,0.109,409,False,False,0.0171,0.061,1611,0.0136,0.049,1212,0.0275,0.097,399,True,True,True,True,False,False,True,False
