axis,trader,face,window,segment,n,beat_rate,min_dd,mean_dd,oos_trades,ci95_width,verdict
deep,COMPOSITE-CE-02,x2,24m,all,1128,0.5035,-0.1828,-0.096,297698,0.0576,False
deep,COMPOSITE-CE-02,x2,24m,bear,721,0.5867,-0.1775,None,None,None,None
deep,COMPOSITE-CE-02,x2,24m,bull,321,0.2897,-0.1828,None,None,None,None
deep,COMPOSITE-CE-02,x2,24m,chop,86,0.6047,-0.1631,None,None,None,None
deep,DROUGHT-CE-01,base,6m,all,1506,0.4788,-0.0284,-0.011,13150,0.0511,False
deep,DROUGHT-CE-01,base,6m,bear,748,0.6457,-0.0203,None,None,None,None
deep,DROUGHT-CE-01,base,6m,bull,664,0.2696,-0.0284,None,None,None,None
deep,DROUGHT-CE-01,base,6m,chop,94,0.6277,-0.0197,None,None,None,None
deep,DROUGHT-CE-01,x2,6m,all,1506,0.4708,-0.0313,-0.0115,13150,0.0505,False
deep,DROUGHT-CE-01,x2,6m,bear,748,0.6444,-0.021,None,None,None,None
deep,DROUGHT-CE-01,x2,6m,bull,664,0.2545,-0.0313,None,None,None,None
deep,DROUGHT-CE-01,x2,6m,chop,94,0.617,-0.0202,None,None,None,None
deep,DROUGHT-CE-01,base,12m,all,1380,0.4522,-0.0283,-0.0146,22333,0.0522,False
deep,DROUGHT-CE-01,base,12m,bear,746,0.5791,-0.0282,None,None,None,None
deep,DROUGHT-CE-01,base,12m,bull,540,0.2556,-0.0283,None,None,None,None
deep,DROUGHT-CE-01,base,12m,chop,94,0.5745,-0.0197,None,None,None,None
deep,DROUGHT-CE-01,x2,12m,all,1380,0.4478,-0.0312,-0.0153,22333,0.0522,False
deep,DROUGHT-CE-01,x2,12m,bear,746,0.5751,-0.031,None,None,None,None
deep,DROUGHT-CE-01,x2,12m,bull,540,0.25,-0.0312,None,None,None,None
deep,DROUGHT-CE-01,x2,12m,chop,94,0.5745,-0.0202,None,None,None,None
deep,DROUGHT-CE-01,base,24m,all,1128,0.5124,-0.0274,-0.0172,31888,0.0576,False
deep,DROUGHT-CE-01,base,24m,bear,721,0.4244,-0.0274,None,None,None,None
deep,DROUGHT-CE-01,base,24m,bull,321,0.7788,-0.0196,None,None,None,None
deep,DROUGHT-CE-01,base,24m,chop,86,0.2558,-0.0272,None,None,None,None
deep,DROUGHT-CE-01,x2,24m,all,1128,0.5018,-0.0303,-0.0181,31888,0.0576,False
deep,DROUGHT-CE-01,x2,24m,bear,721,0.4147,-0.0303,None,None,None,None
deep,DROUGHT-CE-01,x2,24m,bull,321,0.7726,-0.0201,None,None,None,None
deep,DROUGHT-CE-01,x2,24m,chop,86,0.2209,-0.0301,None,None,None,None
deep,ENGULF-CE-01,base,6m,all,1506,0.4582,-0.0548,-0.0181,14124,0.0498,False
deep,ENGULF-CE-01,base,6m,bear,748,0.6765,-0.0474,None,None,None,None
deep,ENGULF-CE-01,base,6m,bull,664,0.1958,-0.0548,None,None,None,None
deep,ENGULF-CE-01,base,6m,chop,94,0.5745,-0.0385,None,None,None,None
deep,ENGULF-CE-01,x2,6m,all,1506,0.4442,-0.0572,-0.0189,14124,0.0498,False
deep,ENGULF-CE-01,x2,6m,bear,748,0.6698,-0.0488,None,None,None,None
deep,ENGULF-CE-01,x2,6m,bull,664,0.1717,-0.0572,None,None,None,None
deep,ENGULF-CE-01,x2,6m,chop,94,0.5745,-0.0409,None,None,None,None
deep,ENGULF-CE-01,base,12m,all,1380,0.4514,-0.053,-0.0262,25649,0.0522,False
deep,ENGULF-CE-01,base,12m,bear,746,0.5845,-0.053,None,None,None,None
deep,ENGULF-CE-01,base,12m,bull,540,0.2463,-0.053,None,None,None,None
deep,ENGULF-CE-01,base,12m,chop,94,0.5745,-0.0461,None,None,None,None
deep,ENGULF-CE-01,x2,12m,all,1380,0.4471,-0.0553,-0.0278,25649,0.0522,False
deep,ENGULF-CE-01,x2,12m,bear,746,0.5818,-0.0553,None,None,None,None
deep,ENGULF-CE-01,x2,12m,bull,540,0.2389,-0.0553,None,None,None,None
deep,ENGULF-CE-01,x2,12m,chop,94,0.5745,-0.0499,None,None,None,None
deep,ENGULF-CE-01,base,24m,all,1128,0.4991,-0.0524,-0.0397,44212,0.0576,False
deep,ENGULF-CE-01,base,24m,bear,721,0.4133,-0.0524,None,None,None,None
deep,ENGULF-CE-01,base,24m,bull,321,0.7664,-0.0461,None,None,None,None
deep,ENGULF-CE-01,base,24m,chop,86,0.2209,-0.0517,None,None,None,None
deep,ENGULF-CE-01,x2,24m,all,1128,0.4902,-0.0549,-0.0425,44212,0.0576,False
deep,ENGULF-CE-01,x2,24m,bear,721,0.4022,-0.0549,None,None,None,None
deep,ENGULF-CE-01,x2,24m,bull,321,0.7601,-0.0499,None,None,None,None
deep,ENGULF-CE-01,x2,24m,chop,86,0.2209,-0.0541,None,None,None,None
deep,NEEDLE-DE-01,base,6m,all,1506,0.4389,-0.0312,-0.0094,7342,0.0498,False
deep,NEEDLE-DE-01,base,6m,bear,748,0.6377,-0.0291,None,None,None,None
deep,NEEDLE-DE-01,base,6m,bull,664,0.1898,-0.0312,None,None,None,None
deep,NEEDLE-DE-01,base,6m,chop,94,0.617,-0.0259,None,None,None,None
deep,NEEDLE-DE-01,x2,6m,all,1506,0.4343,-0.0325,-0.0098,7342,0.0498,False
deep,NEEDLE-DE-01,x2,6m,bear,748,0.6337,-0.0303,None,None,None,None
deep,NEEDLE-DE-01,x2,6m,bull,664,0.1837,-0.0325,None,None,None,None
deep,NEEDLE-DE-01,x2,6m,chop,94,0.617,-0.027,None,None,None,None
deep,NEEDLE-DE-01,base,12m,all,1380,0.4355,-0.0323,-0.0138,12456,0.0522,False
deep,NEEDLE-DE-01,base,12m,bear,746,0.5523,-0.0312,None,None,None,None
deep,NEEDLE-DE-01,base,12m,bull,540,0.25,-0.0323,None,None,None,None
deep,NEEDLE-DE-01,base,12m,chop,94,0.5745,-0.0259,None,None,None,None
deep,NEEDLE-DE-01,x2,12m,all,1380,0.4348,-0.0337,-0.0143,12456,0.0522,False
deep,NEEDLE-DE-01,x2,12m,bear,746,0.5509,-0.0325,None,None,None,None
deep,NEEDLE-DE-01,x2,12m,bull,540,0.25,-0.0337,None,None,None,None
deep,NEEDLE-DE-01,x2,12m,chop,94,0.5745,-0.027,None,None,None,None
deep,NEEDLE-DE-01,base,24m,all,1128,0.5089,-0.0308,-0.0206,20718,0.0576,False
deep,NEEDLE-DE-01,base,24m,bear,721,0.4313,-0.0308,None,None,None,None
deep,NEEDLE-DE-01,base,24m,bull,321,0.7539,-0.0266,None,None,None,None
deep,NEEDLE-DE-01,base,24m,chop,86,0.2442,-0.0306,None,None,None,None
deep,NEEDLE-DE-01,x2,24m,all,1128,0.5027,-0.0321,-0.0213,20718,0.0576,False
deep,NEEDLE-DE-01,x2,24m,bear,721,0.4244,-0.0321,None,None,None,None
deep,NEEDLE-DE-01,x2,24m,bull,321,0.7477,-0.0274,None,None,None,None
deep,NEEDLE-DE-01,x2,24m,chop,86,0.2442,-0.0319,None,None,None,None
deep,VOLATILITY-CE-01,base,6m,all,1506,0.488,-0.0646,-0.0161,59624,0.0505,False
deep,VOLATILITY-CE-01,base,6m,bear,748,0.6765,-0.0453,None,None,None,None
deep,VOLATILITY-CE-01,base,6m,bull,664,0.2545,-0.0646,None,None,None,None
deep,VOLATILITY-CE-01,base,6m,chop,94,0.6383,-0.0475,None,None,None,None
deep,VOLATILITY-CE-01,x2,6m,all,1506,0.4548,-0.0685,-0.0195,59624,0.0498,False
deep,VOLATILITY-CE-01,x2,6m,bear,748,0.6404,-0.0478,None,None,None,None
deep,VOLATILITY-CE-01,x2,6m,bull,664,0.2214,-0.0685,None,None,None,None
deep,VOLATILITY-CE-01,x2,6m,chop,94,0.6277,-0.0499,None,None,None,None
deep,VOLATILITY-CE-01,base,12m,all,1380,0.4623,-0.0646,-0.0207,110960,0.0522,False
deep,VOLATILITY-CE-01,base,12m,bear,746,0.5992,-0.0482,None,None,None,None
deep,VOLATILITY-CE-01,base,12m,bull,540,0.2537,-0.0646,None,None,None,None
deep,VOLATILITY-CE-01,base,12m,chop,94,0.5745,-0.0475,None,None,None,None
deep,VOLATILITY-CE-01,x2,12m,all,1380,0.4362,-0.0685,-0.0273,110960,0.0522,False
deep,VOLATILITY-CE-01,x2,12m,bear,746,0.563,-0.0662,None,None,None,None
deep,VOLATILITY-CE-01,x2,12m,bull,540,0.237,-0.0685,None,None,None,None
deep,VOLATILITY-CE-01,x2,12m,chop,94,0.5745,-0.0573,None,None,None,None
deep,VOLATILITY-CE-01,base,24m,all,1128,0.6055,-0.0646,-0.0269,179578,0.0576,False
deep,VOLATILITY-CE-01,base,24m,bear,721,0.5395,-0.0482,None,None,None,None
deep,VOLATILITY-CE-01,base,24m,bull,321,0.7757,-0.0646,None,None,None,None
deep,VOLATILITY-CE-01,base,24m,chop,86,0.5233,-0.0475,None,None,None,None
deep,VOLATILITY-CE-01,x2,24m,all,1128,0.5133,-0.071,-0.0393,179578,0.0576,False
deep,VOLATILITY-CE-01,x2,24m,bear,721,0.4605,-0.0701,None,None,None,None
deep,VOLATILITY-CE-01,x2,24m,bull,321,0.6791,-0.071,None,None,None,None
deep,VOLATILITY-CE-01,x2,24m,chop,86,0.3372,-0.0573,None,None,None,None
