family,set,sharpe,ann_ret,max_dd,n_trades
A,"[3, 4, 10, 11]",0.3316,0.03133,-0.318255,320
A,"[3, 4, 10, 12]",0.2875,0.025867,-0.309293,348
A,"[3, 4, 11, 12]",0.2602,0.022849,-0.330733,320
A,"[3, 5, 6, 7]",0.3163,0.029276,-0.32974,318
A,"[3, 5, 6, 8]",0.3268,0.03098,-0.335031,346
A,"[3, 5, 6, 9]",0.2731,0.024326,-0.328757,346
A,"[3, 5, 6, 10]",0.3302,0.031279,-0.335259,346
A,"[3, 5, 6, 11]",0.2968,0.027465,-0.35757,346
A,"[3, 5, 6, 12]",0.2567,0.022509,-0.34913,346
A,"[3, 5, 7, 8]",0.3154,0.029232,-0.299361,345
A,"[3, 5, 7, 9]",0.2514,0.021592,-0.294355,373
A,"[3, 5, 7, 10]",0.3096,0.028495,-0.301215,373
A,"[3, 5, 7, 11]",0.2762,0.024753,-0.324633,373
A,"[3, 5, 7, 12]",0.2358,0.019898,-0.315778,373
A,"[3, 5, 8, 9]",0.2761,0.024684,-0.297724,345
A,"[3, 5, 8, 10]",0.3267,0.030906,-0.305842,373
A,"[3, 5, 8, 11]",0.2947,0.027256,-0.329118,373
A,"[3, 5, 8, 12]",0.2569,0.022568,-0.320296,373
A,"[3, 5, 9, 10]",0.2779,0.024843,-0.298456,345
A,"[3, 5, 9, 11]",0.2416,0.020762,-0.327153,373
A,"[3, 5, 9, 12]",0.2026,0.016178,-0.314277,373
A,"[3, 5, 10, 11]",0.3064,0.028512,-0.329878,345
A,"[3, 5, 10, 12]",0.262,0.023062,-0.321069,373
A,"[3, 5, 11, 12]",0.2345,0.020016,-0.342145,345
A,"[3, 6, 7, 8]",0.3562,0.033781,-0.304602,319
A,"[3, 6, 7, 9]",0.2916,0.025967,-0.299645,347
A,"[3, 6, 7, 10]",0.3493,0.032907,-0.306441,347
A,"[3, 6, 7, 11]",0.3156,0.029136,-0.329714,347
A,"[3, 6, 7, 12]",0.276,0.024278,-0.32091,347
A,"[3, 6, 8, 9]",0.3066,0.028068,-0.303873,347
A,"[3, 6, 8, 10]",0.3568,0.034314,-0.311937,375
A,"[3, 6, 8, 11]",0.3246,0.030654,-0.335018,375
A,"[3, 6, 8, 12]",0.2873,0.025953,-0.326266,375
A,"[3, 6, 9, 10]",0.3061,0.027965,-0.304623,347
A,"[3, 6, 9, 11]",0.2696,0.023871,-0.330068,375
A,"[3, 6, 9, 12]",0.2311,0.019276,-0.3203,375
A,"[3, 6, 10, 11]",0.3341,0.031648,-0.335747,347
A,"[3, 6, 10, 12]",0.2901,0.026189,-0.327033,375
A,"[3, 6, 11, 12]",0.2634,0.023231,-0.347919,347
A,"[3, 7, 8, 9]",0.2983,0.026735,-0.266364,320
A,"[3, 7, 8, 10]",0.3489,0.032912,-0.274833,348
A,"[3, 7, 8, 11]",0.3161,0.029258,-0.299167,348
A,"[3, 7, 8, 12]",0.278,0.024554,-0.289965,348
A,"[3, 7, 9, 10]",0.288,0.025562,-0.268833,348
A,"[3, 7, 9, 11]",0.2508,0.021477,-0.301413,376
A,"[3, 7, 9, 12]",0.2113,0.01689,-0.285299,376
A,"[3, 7, 10, 11]",0.3164,0.029205,-0.301822,348
A,"[3, 7, 10, 12]",0.2713,0.023749,-0.292654,376
A,"[3, 7, 11, 12]",0.2448,0.020866,-0.314598,348
A,"[3, 8, 9, 10]",0.3109,0.028553,-0.272297,320
A,"[3, 8, 9, 11]",0.275,0.02452,-0.298924,348
A,"[3, 8, 9, 12]",0.2368,0.019928,-0.2887,348
A,"[3, 8, 10, 11]",0.3329,0.031569,-0.306183,348
A,"[3, 8, 10, 12]",0.2889,0.026105,-0.297046,376
A,"[3, 8, 11, 12]",0.2637,0.023315,-0.31889,348
A,"[3, 9, 10, 11]",0.2827,0.025335,-0.29975,320
A,"[3, 9, 10, 12]",0.2376,0.019989,-0.289598,348
A,"[3, 9, 11, 12]",0.2081,0.016766,-0.313819,348
A,"[3, 10, 11, 12]",0.2753,0.024547,-0.322423,320
A,"[4, 5, 6, 7]",0.2791,0.025232,-0.355682,293
A,"[4, 5, 6, 8]",0.2905,0.02695,-0.360771,321
A,"[4, 5, 6, 9]",0.2364,0.020316,-0.354741,321
A,"[4, 5, 6, 10]",0.2937,0.027249,-0.361021,321
A,"[4, 5, 6, 11]",0.2607,0.023441,-0.382456,321
A,"[4, 5, 6, 12]",0.2205,0.018543,-0.37432,321
A,"[4, 5, 7, 8]",0.2784,0.025201,-0.326234,320
A,"[4, 5, 7, 9]",0.2141,0.01758,-0.321441,348
A,"[4, 5, 7, 10]",0.2725,0.024462,-0.328013,348
A,"[4, 5, 7, 11]",0.2394,0.02072,-0.350582,348
A,"[4, 5, 7, 12]",0.1991,0.015939,-0.342023,348
A,"[4, 5, 8, 9]",0.2392,0.02066,-0.324639,320
A,"[4, 5, 8, 10]",0.2901,0.026864,-0.332438,348
A,"[4, 5, 8, 11]",0.2585,0.023223,-0.354834,348
A,"[4, 5, 8, 12]",0.2207,0.01859,-0.346367,348
A,"[4, 5, 9, 10]",0.241,0.02082,-0.325379,320
A,"[4, 5, 9, 11]",0.205,0.016752,-0.350063,348
A,"[4, 5, 9, 12]",0.1661,0.01224,-0.340588,348
A,"[4, 5, 10, 11]",0.2699,0.024472,-0.355549,320
A,"[4, 5, 10, 12]",0.2256,0.019093,-0.347111,348
A,"[4, 5, 11, 12]",0.1986,0.016059,-0.36736,320
A,"[4, 6, 7, 8]",0.3144,0.029247,-0.331718,318
A,"[4, 6, 7, 9]",0.2494,0.021462,-0.326972,346
A,"[4, 6, 7, 10]",0.3073,0.028371,-0.333498,346
A,"[4, 6, 7, 11]",0.2741,0.024616,-0.355879,346
A,"[4, 6, 7, 12]",0.2343,0.019817,-0.347378,346
A,"[4, 6, 8, 9]",0.2651,0.023556,-0.33102,346
A,"[4, 6, 8, 10]",0.3157,0.029775,-0.338751,374
A,"[4, 6, 8, 11]",0.2839,0.026125,-0.360938,374
A,"[4, 6, 8, 12]",0.2465,0.021489,-0.352527,374
A,"[4, 6, 9, 10]",0.2645,0.023451,-0.331737,346
A,"[4, 6, 9, 11]",0.2284,0.01937,-0.356208,374
A,"[4, 6, 9, 12]",0.1898,0.014837,-0.346815,374
A,"[4, 6, 10, 11]",0.2931,0.027121,-0.361677,346
A,"[4, 6, 10, 12]",0.2491,0.021723,-0.353259,374
A,"[4, 6, 11, 12]",0.2228,0.018782,-0.373339,346
A,"[4, 7, 8, 9]",0.2563,0.022254,-0.29446,319
A,"[4, 7, 8, 10]",0.3073,0.028404,-0.302625,347
A,"[4, 7, 8, 11]",0.2749,0.024755,-0.326031,347
A,"[4, 7, 8, 12]",0.2367,0.020121,-0.31716,347
