code,class,source,in_core48,rows,first_date,last_date,tail60_avg_amount,L1,L2,H1,F1,twin_overlap_rows,twin_close_mismatches,twin_pref_first_date
512660,沪市ETF(码段),bare,True,1631,2020-01-02,2026-09-22,326316309.8333333,True,True,True,True,1631.0,0.0,2016-08-08
512670,沪市ETF(码段),prefixed,False,1733,2019-08-01,2026-09-22,83229460.46666667,True,True,True,True,,,
512680,沪市ETF(码段),prefixed,False,2418,2016-10-14,2026-09-22,73770079.45,True,True,True,True,,,
512690,沪市ETF(码段),bare,True,1630,2020-01-02,2026-09-22,618918330.5833334,True,True,True,True,1630.0,0.0,2019-05-06
512700,沪市ETF(码段),prefixed,False,2226,2017-07-26,2026-09-22,107415975.23333333,True,True,True,True,,,
512710,沪市ETF(码段),bare,True,1630,2020-01-02,2026-09-22,317688145.46666664,True,True,True,True,1630.0,0.0,2019-08-26
512720,沪市ETF(码段),bare,True,1631,2020-01-02,2026-09-22,33158218.316666666,True,False,True,True,1631.0,0.0,2019-08-16
512730,沪市ETF(码段),prefixed,False,1611,2020-02-07,2026-09-22,7711705.4,False,False,True,True,,,
512740,沪市ETF(码段),prefixed,False,7,2026-09-14,2026-09-22,30835172.42857143,True,False,False,True,,,
512750,沪市ETF(码段),prefixed,False,1753,2019-07-05,2026-09-22,3769515.316666667,False,False,True,True,,,
512760,沪市ETF(码段),prefixed,False,1769,2019-06-12,2026-09-22,589531430.9833333,True,True,True,True,,,
512770,沪市ETF(码段),prefixed,False,1966,2018-08-16,2026-09-22,6385232.066666666,False,False,True,True,,,
512800,沪市ETF(码段),bare,True,1631,2020-01-02,2026-09-22,1018065682.75,True,True,True,True,1631.0,0.0,2017-08-03
512810,沪市ETF(码段),prefixed,False,2450,2016-08-22,2026-09-22,36444130.2,True,False,True,True,,,
512820,沪市ETF(码段),prefixed,False,1900,2018-11-23,2026-09-22,108162244.65,True,True,True,True,,,
512870,沪市ETF(码段),prefixed,False,1791,2019-02-22,2026-09-22,288948.65,False,False,True,True,,,
512880,沪市ETF(码段),bare,True,1631,2020-01-02,2026-09-22,2183666566.05,True,True,True,True,1631.0,0.0,2016-08-08
512890,沪市ETF(码段),prefixed,False,1862,2019-01-18,2026-09-22,864729095.6666666,True,True,True,True,,,
512900,沪市ETF(码段),prefixed,False,2293,2017-03-31,2026-09-22,70341629.55,True,True,True,True,,,
512910,沪市ETF(码段),prefixed,False,1757,2019-07-01,2026-09-22,9546979.6,False,False,True,True,,,
512930,沪市ETF(码段),prefixed,False,1718,2019-08-23,2026-09-22,182580458.63333333,True,True,True,True,,,
512940,沪市ETF(码段),prefixed,False,144,2026-02-26,2026-09-22,44403906.416666664,True,False,False,True,,,
512950,沪市ETF(码段),prefixed,False,1863,2019-01-18,2026-09-22,13464243.316666666,False,False,True,True,,,
512960,沪市ETF(码段),prefixed,False,1863,2019-01-18,2026-09-22,5427225.716666667,False,False,True,True,,,
512970,沪市ETF(码段),prefixed,False,1667,2019-11-11,2026-09-22,1128182.8833333333,False,False,True,True,,,
512980,沪市ETF(码段),bare,True,1631,2020-01-02,2026-09-22,306500131.2,True,True,True,True,1631.0,0.0,2018-01-19
512990,沪市ETF(码段),prefixed,False,2707,2015-08-04,2026-09-22,5746660.366666666,False,False,True,True,,,
513000,跨境ETF,prefixed,False,1761,2019-06-25,2026-09-22,194104124.78333333,True,True,True,True,,,
513010,跨境ETF,prefixed,False,1296,2021-05-25,2026-09-22,864153043.1166667,True,True,True,True,,,
513020,跨境ETF,prefixed,False,1125,2022-02-08,2026-09-22,158051308.63333333,True,True,True,True,,,
513030,跨境ETF,prefixed,False,2927,2014-09-05,2026-09-22,134133588.31666666,True,True,True,True,,,
513040,跨境ETF,prefixed,False,798,2023-06-12,2026-09-22,658561609.1166667,True,True,True,True,,,
513050,跨境ETF,bare,True,1631,2020-01-02,2026-09-22,2371074554.9,True,True,True,True,1631.0,0.0,2017-01-18
513060,跨境ETF,prefixed,False,1333,2021-03-29,2026-09-22,678062006.75,True,True,True,True,,,
513070,跨境ETF,prefixed,False,1093,2022-03-24,2026-09-22,119025082.71666667,True,True,True,True,,,
513080,跨境ETF,prefixed,False,1524,2020-06-12,2026-09-22,48073305.06666667,True,False,True,True,,,
513090,跨境ETF,prefixed,False,1577,2020-03-26,2026-09-22,4282196935.6833334,True,True,True,True,,,
513100,跨境ETF,bare,True,1630,2020-01-02,2026-09-22,380164641.51666665,True,True,True,True,1630.0,0.0,2013-07-31
513110,跨境ETF,prefixed,False,854,2023-03-20,2026-09-22,193305517.9,True,True,True,True,,,
513120,跨境ETF,prefixed,False,1021,2022-07-12,2026-09-22,7650034115.066667,True,True,True,True,,,
513130,跨境ETF,prefixed,False,1291,2021-06-01,2026-09-22,2651226050.1,True,True,True,True,,,
513140,跨境ETF,prefixed,False,896,2023-01-12,2026-09-22,51963087.71666667,True,True,True,True,,,
513150,跨境ETF,prefixed,False,1122,2022-02-11,2026-09-22,76315730.06666666,True,True,True,True,,,
513160,跨境ETF,prefixed,False,1124,2022-02-09,2026-09-22,268721206.18333334,True,True,True,True,,,
513170,跨境ETF,prefixed,False,591,2024-04-19,2026-09-22,7625897.383333334,False,False,True,True,,,
513180,跨境ETF,bare,True,1296,2021-05-25,2026-09-22,2687898673.983333,True,True,True,True,1296.0,0.0,2021-05-25
513190,跨境ETF,prefixed,False,719,2023-10-11,2026-09-22,440167722.1666667,True,True,True,True,,,
513200,跨境ETF,prefixed,False,1122,2022-02-11,2026-09-22,216783597.61666667,True,True,True,True,,,
513210,跨境ETF,prefixed,False,590,2024-04-22,2026-09-22,7965385.716666667,False,False,True,True,,,
513220,跨境ETF,prefixed,False,1018,2022-07-15,2026-09-22,35445355.68333333,True,False,True,True,,,
513230,跨境ETF,prefixed,False,1131,2022-01-24,2026-09-22,23201857.233333334,True,False,True,True,,,
513240,跨境ETF,prefixed,False,97,2026-05-08,2026-09-22,149880360.4,True,True,False,True,,,
513260,跨境ETF,prefixed,False,977,2022-09-13,2026-09-22,293325530.85,True,True,True,True,,,
513280,跨境ETF,prefixed,False,1017,2022-07-18,2026-09-22,106455448.05,True,True,True,True,,,
513290,跨境ETF,prefixed,False,987,2022-08-29,2026-09-22,300178439.71666664,True,True,True,True,,,
513300,跨境ETF,prefixed,False,1429,2020-11-05,2026-09-22,344185933.6166667,True,True,True,True,,,
513310,跨境ETF,prefixed,False,910,2022-12-22,2026-09-22,13155048815.966667,True,True,True,True,,,
