name,exit_regime,cost_face,status,n_trades,n_entries,annual_return,sharpe,max_drawdown,oos_sharpe,oos_annual_return,skill_line,g1_pass,d6_registered_ok,d6_same_batch,max_corr_vs_registered,note
rand_default_p0.05_s33,default,x1,ok,,,-0.0213,-0.0999,-0.3455,0.1339,0.0086,,,,,,p=0.05 seed=55533
rand_default_p0.05_s34,default,x1,ok,,,0.0158,0.2347,-0.2273,0.2211,0.0139,,,,,,p=0.05 seed=55534
rand_default_p0.05_s35,default,x1,ok,,,-0.0214,-0.2323,-0.2107,-0.096,-0.0138,,,,,,p=0.05 seed=55535
rand_default_p0.05_s36,default,x1,ok,,,-0.0272,-0.2929,-0.3149,0.5603,0.0524,,,,,,p=0.05 seed=55536
rand_default_p0.05_s37,default,x1,ok,,,-0.0415,-0.3799,-0.3633,0.3722,0.0378,,,,,,p=0.05 seed=55537
rand_default_p0.05_s38,default,x1,ok,,,-0.0343,-0.3692,-0.2748,-0.1333,-0.0211,,,,,,p=0.05 seed=55538
rand_default_p0.05_s39,default,x1,ok,,,0.0278,0.3503,-0.2431,0.8703,0.0605,,,,,,p=0.05 seed=55539
rand_default_p0.05_s40,default,x1,ok,,,-0.0051,0.0258,-0.3636,0.957,0.0908,,,,,,p=0.05 seed=55540
rand_default_p0.05_s41,default,x1,ok,,,0.027,0.3216,-0.1218,0.8918,0.0564,,,,,,p=0.05 seed=55541
rand_default_p0.05_s42,default,x1,ok,,,-0.0094,-0.0754,-0.253,0.5185,0.0412,,,,,,p=0.05 seed=55542
rand_default_p0.05_s43,default,x1,ok,,,-0.0095,-0.0849,-0.2577,0.4904,0.0353,,,,,,p=0.05 seed=55543
rand_default_p0.05_s44,default,x1,ok,,,-0.014,-0.1374,-0.2781,0.5317,0.0415,,,,,,p=0.05 seed=55544
rand_default_p0.05_s45,default,x1,ok,,,-0.0078,-0.0625,-0.2573,1.0881,0.0935,,,,,,p=0.05 seed=55545
