name,family,exit_regime,status,n_trades,oos_trades,annual_return,sharpe,max_drawdown,win_rate,oos_sharpe,oos_annual_return,oos_max_drawdown,i_bar,vi_bar,g1_pass,sleeve_tag,x2_full_sharpe,x2_oos_sharpe,max_corr,note
rand_default_p0.02_s20,random_baseline,default,ok,125,37,0.0047,0.4699,-0.0201,0.536,0.4353,0.0053,-0.0176,,,False,,,,,p=0.02 seed=30020
rand_default_p0.02_s21,random_baseline,default,ok,141,54,0.0071,0.6175,-0.0262,0.5603,0.6531,0.0118,-0.0262,,,False,,,,,p=0.02 seed=30021
rand_default_p0.02_s22,random_baseline,default,ok,140,44,0.0001,0.0167,-0.0188,0.5714,0.0478,0.0007,-0.0184,,,False,,,,,p=0.02 seed=30022
rand_default_p0.02_s23,random_baseline,default,ok,130,50,0.0021,0.2015,-0.0167,0.5077,0.3006,0.0047,-0.0167,,,False,,,,,p=0.02 seed=30023
rand_default_p0.02_s24,random_baseline,default,ok,129,35,0.0053,0.5639,-0.0184,0.5581,-0.2196,-0.0024,-0.0184,,,False,,,,,p=0.02 seed=30024
rand_default_p0.05_s25,random_baseline,default,ok,284,93,0.0013,0.0858,-0.056,0.5141,-0.2026,-0.0048,-0.056,,,False,,,,,p=0.05 seed=30025
rand_default_p0.05_s26,random_baseline,default,ok,265,79,-0.0109,-0.6341,-0.0836,0.4906,-1.7991,-0.0398,-0.08,,,False,,,,,p=0.05 seed=30026
rand_default_p0.05_s27,random_baseline,default,ok,268,77,0.0031,0.1958,-0.0504,0.5075,0.3709,0.0063,-0.0158,,,False,,,,,p=0.05 seed=30027
rand_default_p0.05_s28,random_baseline,default,ok,240,81,0.0057,0.3777,-0.0248,0.5542,0.3967,0.0082,-0.0248,,,False,,,,,p=0.05 seed=30028
rand_default_p0.05_s29,random_baseline,default,ok,259,85,0.0027,0.1715,-0.0377,0.4788,0.205,0.0046,-0.0377,,,False,,,,,p=0.05 seed=30029
rand_default_p0.05_s30,random_baseline,default,ok,277,87,0.0057,0.3307,-0.0401,0.5307,0.5524,0.0136,-0.0401,,,False,,,,,p=0.05 seed=30030
rand_default_p0.05_s31,random_baseline,default,ok,265,84,0.0085,0.5519,-0.0212,0.5547,0.9242,0.0195,-0.0186,,,False,,,,,p=0.05 seed=30031
rand_default_p0.05_s32,random_baseline,default,ok,245,71,0.0035,0.2246,-0.0292,0.4898,0.3845,0.0061,-0.0184,,,False,,,,,p=0.05 seed=30032
rand_default_p0.05_s33,random_baseline,default,ok,270,80,0.0005,0.0385,-0.0405,0.5333,-0.5384,-0.0123,-0.0405,,,False,,,,,p=0.05 seed=30033
rand_default_p0.05_s34,random_baseline,default,ok,272,84,0.0073,0.4224,-0.0452,0.5588,-0.0207,-0.0008,-0.0452,,,False,,,,,p=0.05 seed=30034
