code,board,first,last,ok_static,exclude_reason
001314,main,2023-02-14,2026-09-22,True,
001316,main,2022-06-24,2026-09-22,True,
001317,main,2021-11-30,2026-09-22,False,r1_loss
001318,main,2022-05-20,2026-09-22,True,
001319,main,2022-05-12,2026-09-22,True,
001322,main,2022-10-26,2026-09-22,False,r1_loss
001323,main,2022-06-23,2026-09-22,True,
001324,main,2023-05-22,2026-09-22,True,
001325,main,2025-12-18,2026-09-22,True,
001326,main,2023-11-09,2026-09-22,True,
001328,main,2023-04-10,2026-09-22,True,
001330,main,2022-08-18,2026-09-22,False,r1_loss
001331,main,2022-09-08,2026-09-22,False,r1_loss
001332,main,2022-09-20,2026-09-22,True,
001333,main,2022-12-08,2026-09-22,True,
001335,main,2025-04-15,2026-09-22,True,
001336,main,2022-07-25,2026-09-22,True,
001337,main,2023-03-03,2026-09-22,True,
001338,main,2022-11-16,2026-09-22,True,
001339,main,2022-08-15,2026-09-22,True,
001356,main,2025-01-23,2026-09-22,True,
001358,main,2023-12-21,2026-09-22,True,
001359,main,2024-03-28,2026-09-22,True,
001360,main,2023-04-10,2026-09-22,True,
001365,main,2026-05-18,2026-09-22,True,
001366,main,2023-03-07,2026-09-22,False,r1_loss
001367,main,2023-04-10,2026-09-22,True,
001368,main,2023-03-13,2026-09-22,True,
001369,main,2025-12-30,2026-09-22,True,
001373,main,2023-06-01,2026-09-22,False,r1_loss
001376,main,2023-11-03,2026-09-22,True,
001378,main,2023-10-30,2026-09-22,True,
001379,main,2024-01-19,2026-09-22,True,
001380,main,2023-05-16,2026-09-22,True,
001382,main,2025-03-21,2026-09-22,True,
001386,main,2025-10-22,2026-09-22,True,
001387,main,2024-01-11,2026-09-22,True,
001388,main,2025-07-01,2026-09-22,True,
001389,main,2024-04-02,2026-09-22,True,
001390,main,2025-05-29,2026-09-22,True,
001391,main,2024-12-30,2026-09-22,True,
001393,main,2026-05-15,2026-09-22,True,
001395,main,2025-01-27,2026-09-22,True,
001396,main,2025-12-30,2026-09-22,True,
001399,main,2026-06-26,2026-09-22,True,
001400,main,2025-04-24,2026-09-22,True,
001696,main,1997-03-06,2026-09-22,True,
001872,main,2018-12-26,2026-09-22,True,
001896,main,1998-01-22,2026-09-22,True,
001914,main,1994-09-28,2026-09-22,True,
001965,main,2017-12-25,2026-09-22,True,
001979,main,2015-12-30,2026-09-22,True,
002001,main,2004-06-25,2026-09-22,True,
002003,main,2004-06-25,2026-09-22,True,
002004,main,2004-06-25,2026-09-22,True,
002005,main,2004-06-25,2026-09-22,True,
002006,main,2004-06-25,2026-09-22,True,
002007,main,2004-06-25,2026-09-22,True,
002008,main,2004-06-25,2026-09-22,True,
002009,main,2004-06-29,2026-09-22,True,
002010,main,2004-06-29,2026-09-22,True,
002011,main,2004-07-05,2026-09-22,True,
002012,main,2004-07-05,2026-09-22,True,
002014,main,2004-07-08,2026-09-22,True,
002015,main,2004-07-08,2026-09-22,True,
002016,main,2004-07-08,2026-09-22,True,
002017,main,2004-07-13,2026-09-22,True,
002019,main,2004-07-13,2026-09-22,True,
002020,main,2004-07-15,2026-09-22,True,
002021,main,2004-07-15,2026-09-22,False,r1_loss
002022,main,2004-07-21,2026-09-22,False,r1_loss
002023,main,2004-07-21,2026-09-22,False,r1_loss
002024,main,2004-07-21,2026-09-22,False,r2_st
002025,main,2004-07-26,2026-09-22,True,
002026,main,2004-07-27,2026-09-22,True,
002027,main,2004-08-04,2026-09-22,True,
002028,main,2004-08-05,2026-09-22,True,
002029,main,2004-08-06,2026-09-22,True,
002030,main,2004-08-09,2026-09-22,False,r1_loss
002031,main,2004-08-16,2026-09-22,False,r1_loss
002032,main,2004-08-17,2026-09-22,True,
002033,main,2004-08-25,2026-09-22,True,
002034,main,2004-08-26,2026-09-22,True,
002035,main,2004-09-01,2026-09-22,True,
002036,main,2004-09-03,2026-09-22,False,r1_loss
002037,main,2004-09-08,2026-09-22,False,r1_loss
002038,main,2004-09-09,2026-09-22,False,r1_loss
002039,main,2005-03-03,2026-09-22,True,
002040,main,2005-03-25,2026-09-22,True,
002041,main,2005-04-18,2026-09-22,True,
002042,main,2005-04-27,2026-09-22,True,
002043,main,2005-05-10,2026-09-22,True,
002044,main,2005-05-18,2026-09-22,True,
002045,main,2005-05-23,2026-09-22,False,r1_loss
002046,main,2005-05-26,2026-09-22,True,
002047,main,2005-05-31,2026-09-22,True,
002048,main,2005-06-03,2026-09-22,True,
002049,main,2005-06-06,2026-09-22,True,
002050,main,2005-06-07,2026-09-22,True,
002051,main,2006-06-19,2026-09-22,True,
002052,main,2006-06-27,2026-09-22,False,r1_loss
002053,main,2006-06-27,2026-09-22,True,
002054,main,2006-07-25,2026-09-22,True,
